CD_UF;NM_UF;CD_MUNIC;NM_MUNIC;ID_LI;CD_LI;OCORRENCIA;NM_LI;CD_SETOR;SITUACAO;CD_SIT;CD_TIPO;CD_AGLOM;NM_AGLOM;CD_TI;TI_FUNAI;NM_TI;FASE;C_CR_FUNAI;N_CR_FUNAI;ALD_FUNAI;VAL_FUNAI;ALD_SIASI;VAL_SIASI;AMZ_LEG;LAT;LONG
26;Pernambuco;2603009;Cabrobó;2600097;2610112;4;Aldeia Indígena Ilha da Assunção;260300905000146;Rural;5;5;260300900091;Aldeia Indígena Caatinga Grande 2;50751;46602;Truká;Declarada;30202001983;Baixo São Francisco;3887;2;47651;1;;-8.52940116667978;-39.29837033333333
26;Pernambuco;2605707;Floresta;2600098;2610008;2;Aldeia Indígena Travessa do Ouro;260570710000008;Rural;5;5;260570700005;Aldeia Indígena Travessão do Ouro;6335;20201;Kambiwá;Regularizada;30202001969;Nordeste I;4615;2;47582;1;;-8.582957305568756;-37.932298
26;Pernambuco;2606606;Ibimirim;2600102;2610389;1;Aldeia indígena Pereiros;260660605000064;Rural;7;5;260660600040;Aldeia indígena Pereiro - Kambiwa serra do periquito;6335;20201;Kambiwá;Regularizada;30202001969;Nordeste I;3239;2;;;;-8.669897111124442;-37.79532038888889
26;Pernambuco;2614808;Tacaratu;2600104;2610117;4;Aldeia Indígena Brejo dos Padres;261480805000080;Rural;5;5;261480800010;Aldeia Indígena Brejos dos Padres;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;;;47608;1;;-9.126027388902935;-38.18818625
26;Pernambuco;2614808;Tacaratu;2600106;2610115;2;Aldeia Indígena Macacos;261480805000023;Rural;5;5;261480800012;Aldeia Indígena Macacos;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;459;2;51133;1;;-9.106148777791793;-38.18127361111111
26;Pernambuco;2603926;Carnaubeira da Penha;2600107;2610196;2;Aldeia Indígena Serra do Umã;260392605000020;Rural;5;5;260392600003;Aldeia Indígena Serra do Umã;6300;4501;Atikum;Regularizada;30202001983;Baixo São Francisco;2902;1;;;;-8.303220527790536;-38.77926719444444
26;Pernambuco;2603009;Cabrobó;2600110;2610359;1;Aldeia Indígena Caatinguinha;260300905000050;Rural;5;5;260300900021;Aldeia Indígena Caatinguinha 1;50751;46602;Truká;Declarada;30202001983;Baixo São Francisco;;;47650;1;;-8.517661916679758;-39.337259305555555
26;Pernambuco;2607000;Inajá;2600112;2610337;1;Aldeia Indígena Retomada;260700005000013;Rural;7;5;260700000004;Aldeia Indígena Retomada;6335;20201;Kambiwá;Regularizada;30202001969;Nordeste I;3239;2;;;;-8.645287500013294;-37.92298436111111
26;Pernambuco;2611002;Petrolândia;2600114;2610049;1;Aldeia Indigena Mundo Novo;261100205000065;Rural;5;5;261100200025;Aldeia Indigena Mundo Novo;50107;11301;Entre Serras;Regularizada;30202001983;Baixo São Francisco;1120;2;50481;1;;-9.089519027791763;-38.233413666666664
26;Pernambuco;2610905;Pesqueira;2600116;2610031;1;Aldeia Indígena Brejinho;261090505000154;Rural;5;5;261090500022;Aldeia Indígena Cana Brava;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;3033;1;49800;2;;-8.309102555568323;-36.68437247222222
